WKT,ID,NAME,TAGS,WEBSITE,ADDRESS,PHONE,HOURS,CREATED_AT,UPDATED_AT,GEOMETRY_X,GEOMETRY_Y
"POINT (175.324996000010799 -41.116986999988562)",1055450,Featherston Community Supermarket,"supermarket, groceries",,"Fitzherbet & Johnston Street, Featherston",(06) 308 9104,,2006-10-29 13:27:42,2008-06-08 11:43:27,175.324996,-41.116987
"POINT (176.587326000110068 -39.943826999855474)",1031370,New World Waipawa,supermarket,http://www.newworld.co.nz,"36 High Street, Waipawa",(06) 857 8038,"7am - 8pm, 7 days week",2006-08-31 14:05:32,2008-06-08 12:22:25,176.587326,-39.9438269999
"POINT (171.864750999999757 -42.119758999999839)",1029390,Reefton SuperValue,supermarket food,http://www.reeftonsupervalue.com,"65 Broadway, Reefton",(03) 732 8313,"Mon - Sun,8am - 7pm",2006-08-31 13:52:48,2008-06-13 13:31:53,171.864751,-42.119759
"POINT (176.837772000157344 -39.636783999787241)",1028830,PAK 'n SAVE Hastings,supermarket,http://www.paknsave.co.nz,"600 Heretaunga Streets, Hastings",(06) 876 6053,"6am - midnight, 7 days a week",2006-08-31 11:40:19,2007-09-17 19:48:12,176.837772,-39.6367839998
"POINT (173.800846 -35.408911)",1098970,New World Kaikohe,"supermarket, Lotto",http://www.newworld.co.nz,"Marino Place, Kaikohe",(09) 401 5088,"8am-9pm, 7 days",2007-05-14 22:48:14,2007-08-02 14:05:16,173.800846,-35.408911
"POINT (172.829018 -42.521269)",1054660,Hanmer Springs Four Square Supermarket,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"Conical Hill Road, Hanmer Springs",(03) 315 7190,,2006-10-29 13:27:04,2008-04-04 09:46:01,172.829018,-42.521269
"POINT (177.284528000302487 -38.006660999627393)",1055870,Opotiki Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"98 Church Street, Opotiki",(07) 315 6245,,2006-10-29 13:28:03,2007-09-10 20:06:21,177.284528,-38.0066609996
"POINT (175.278041000010404 -39.426749999990768)",1055660,Raetihi Pricecutters,"supermarket, groceries",,"72 Seddon Street, Raetihi",(06) 385 4107,,2006-10-29 13:27:52,2007-01-23 13:10:14,175.278041,-39.42675
"POINT (175.278090000010877 -37.749369999991679)",1096910,New Save Asian Supermarket Chartwell,"Supermarket, Asian food supplies",,"Hukanui Rd, Chartwell Sq, Hamilton",,,2007-03-29 11:55:19,2007-03-29 11:55:19,175.27809,-37.74937
"POINT (175.283733000011068 -37.789806999991534)",1098400,T-Market Supermarket Hamilton,Asian supermarket,,"48 Alexandra St, Hamilton",(07) 839 6789,,2007-04-17 17:04:59,2007-04-17 17:04:59,175.283733,-37.789807
"POINT (173.78046 -35.10048)",1056320,Kaeo Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"Leigh Street, Kaeo",(09) 405 0658,,2006-10-29 13:28:25,2007-05-07 16:49:16,173.78046,-35.10048
"POINT (174.281852000000498 -39.587666)",1029500,Hawera Countdown,supermarket,http://www.progressive.co.nz,"Cnr Union and Nelson Sts, Hawera",(06) 278 0026,"Mon - Sun, 7am - 11pm",2006-08-31 13:52:51,2007-09-09 17:47:42,174.281852,-39.587666
"POINT (175.668136000025726 -37.378188999979059)",1029880,Paeroa Woolworths,supermarket,http://www.progressive.co.nz,"Belmont Rd, Paeroa",(07) 862 8719,7 days 7am-10pm,2006-08-31 13:53:00,2007-03-04 22:47:17,175.668136,-37.378189
"POINT (168.23889299997677 -45.66984099899436)",1039580,Mossburn General Store,"Mobil petrol station. Four Square supermarket, groceries",http://www.mobil.co.nz,"37 Devon St, Mossburn",(03) 248 6011,,2006-10-04 15:51:17,2008-04-09 20:00:01,168.238893,-45.669840999
"POINT (175.868894000033947 -40.337828999961289)",1055650,Woodville Four Square Discounter,"supermarket, groceries",http://www.foursquare.co.nz,"90 Vogel Street, Woodville",(06) 376 5977,,2006-10-29 13:27:52,2006-10-29 13:27:52,175.868894,-40.337829
"POINT (172.021147 -43.755558)",1054590,Rakaia Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Railway Terrace, Rakaia",(03) 302 7652,,2006-10-29 13:27:01,2007-09-11 11:56:01,172.021147,-43.755558
"POINT (174.325221000000653 -35.707904999999712)",1056520,Youngs Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"61 Mill Road, Whangarei",(09) 437 2404,,2006-10-29 13:28:34,2006-10-29 13:28:34,174.325221,-35.707905
"POINT (175.27666000001085 -37.786719999991689)",1029850,Hamilton Foodtown,"supermarket, Lotto",http://www.progressive.co.nz,"Cnr Bryce & Tristram Streets, Hamilton",(07) 838 2738,Mon-Sun 7am-9pm,2006-08-31 13:52:59,2008-05-22 22:21:21,175.27666,-37.78672
"POINT (173.11757 -34.814931)",1056390,Houhora Wharf Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"Far North Road, Pukenui",(09) 409 8819,,2006-10-29 13:28:28,2008-04-04 09:45:09,173.11757,-34.814931
"POINT (177.996043000549918 -38.656943999029167)",1055840,Buyrite Four Square Gisbore,"supermarket, groceries",http://www.foursquare.co.nz,"701 Childers Road, Gisborne",(06) 867 7368,,2006-10-29 13:28:01,2006-10-29 13:28:01,177.996043001,-38.656943999
"POINT (176.191727000066834 -37.725396999937274)",1056610,Welcome Bay Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"248 Welcome Bay Rd, Tauranga",(07) 544 2512,,2006-10-29 13:28:39,2006-10-29 13:28:39,176.191727,-37.7253969999
"POINT (175.378081000012742 -40.068106999987613)",1029520,Marton Woolworths,supermarket,http://www.progressive.co.nz,"280-284 Broadway, Marton",(06) 327 8457,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:51,2006-09-01 11:55:23,175.378081,-40.068107
"POINT (172.3827 -43.59661)",1030560,New World Rolleston,supermarket,http://www.newworld.co.nz,"Cnr Tennyson Street & Rolleston Drive, Rolleston",(03) 347 4404,"8am-8pm, 7 days a week",2006-08-31 14:05:11,2007-09-24 20:35:00,172.3827,-43.59661
"POINT (174.614189000001772 -36.821188999999002)",1030370,Westgate Countdown,supermarket,http://www.progressive.co.nz,"The Westgate City Centre, Fernhill Drive, Massey",(09) 832 2033,"Mon - Sun, 24 hours",2006-08-31 13:53:12,2006-11-05 08:01:57,174.614189,-36.821189
"POINT (174.722915000002502 -36.92529699999853)",1030300,Lynfield Countdown,"supermarket, Lotto",http://www.progressive.co.nz,"570 Hillsborough Road, Lynfield",(09) 626 0371,"Mon - Sun, 24 hours",2006-08-31 13:53:10,2007-03-18 18:46:21,174.722915,-36.925297
"POINT (176.070548000052412 -38.683754999947148)",1029740,Taupo Woolworths,"supermarket, Lotto",http://www.progressive.co.nz,"Cnr Spa Rd & Tongariro St, Taupo",(07) 378 7040,Mon - Sun. 6am-Midnight,2006-08-31 13:52:56,2007-09-19 17:56:45,176.070548,-38.6837549999
"POINT (171.276727999998059 -44.24163799999782)",1030710,New World Temuka,supermarket,http://www.newworld.co.nz,"185 King Street, Temuka",(03) 615 7770,"8am-8pm, 7 days a week",2006-08-31 14:05:14,2006-09-01 11:55:30,171.276728,-44.241638
"POINT (175.809156000032232 -38.990986999968413)",1031090,New World Turangi,supermarket,http://www.newworld.co.nz,"Town Centre, Turangi",(07) 386 8780,Monday - Sunday 8.30am-7pm,2006-08-31 14:05:24,2008-03-10 14:39:31,175.809156,-38.990987
"POINT (172.806551 -40.861359)",1029290,Takaka Fresh Choice,"supermarket, grocery store",http://www.progressive.co.nz,"13 Willow  Street, Takaka",(03) 525 9383,"Mon - Sun, 8am - 8pm",2006-08-31 13:52:46,2008-04-21 09:37:51,172.806551,-40.861359
"POINT (170.619729999991023 -45.816735999984068)",1030650,New World Port Chalmers,supermarket,http://www.newworld.co.nz,"George Street, Port Chalmers",(03) 472 8746,"8am-8pm, 7 days a week",2006-08-31 14:05:13,2007-04-15 15:19:04,170.61973,-45.816736
"POINT (173.234073 -41.311792)",1029320,Stoke Countdown,"supermarket, Lotto",http://www.progressive.co.nz,"12-24 Putaitai Street, Nelson",(03) 547 9298,"Mon - Sun, 7am - 9pm",2006-08-31 13:52:46,2007-03-18 18:49:31,173.234073,-41.311792
"POINT (169.964333999971871 -46.11642099993098)",1054740,Clark's Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"207 Union Street, Milton",(03) 417 8736,,2006-10-29 13:27:08,2006-10-29 13:27:08,169.964334,-46.1164209999
"POINT (174.122449000000273 -35.26267699999989)",1056290,Bay Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"York Street, Russell",(09) 403 7602,,2006-10-29 13:28:24,2007-09-10 20:36:15,174.122449,-35.262677
"POINT (169.411925999940252 -45.662991999814629)",1054840,Millers Flat Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"Teviot Road, Millers Flat",(03) 446 6801,,2006-10-29 13:27:13,2007-05-26 18:10:34,169.411926,-45.6629919998
"POINT (174.734513000002607 -36.883490999998472)",1030440,St Lukes Foodtown,supermarket,http://www.progressive.co.nz,Westfield St Lukes,(09) 846 1010,"Sat-Wed, 8am-8pm Thur-Fri 8am-9:30pm",2006-08-31 13:53:13,2008-02-20 10:14:52,174.734513,-36.883491
"POINT (173.961339000000123 -41.461607)",1055010,Spring Creek Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"Spring Creek, Blenhein",(03) 570 5891,,2006-10-29 13:27:20,2007-01-04 19:54:46,173.961339,-41.461607
"POINT (176.142888000061589 -37.71329499994286)",1031100,New World Gate Pa,"supermarket, Lotto",http://www.newworld.co.nz,"948 Cameron Road, Gate Pa, Tauranga",(07) 571 4740,"7am - 9pm, 7 Days",2006-08-31 14:05:24,2007-05-14 22:44:40,176.142888,-37.7132949999
"POINT (174.207521000000412 -39.158382999999795)",1055740,Shoprite Food Store Inglewood,"supermarket, groceries",http://www.foursquare.co.nz,"50 Matai Street, Inglewood",(06) 756 7404,,2006-10-29 13:27:57,2007-10-15 10:17:00,174.207521,-39.158383
"POINT (172.587488 -43.488565)",1029150,Bishopdale Woolworths,supermarket,http://www.progressive.co.nz,"41 Bishopdale Court, Christchurch",(03) 359 7007,"Mon - Sun, 8am - 9pm",2006-08-31 13:52:42,2006-09-01 11:55:21,172.587488,-43.488565
"POINT (174.841502000003175 -41.131932999997154)",1028740,PAK 'n SAVE Porirua,supermarket,http://www.paknsave.co.nz,"12 Parumoana Street, Porirua",(04) 238 0601,"5am- 12 midnight, 7 days a week",2006-08-31 11:40:17,2006-09-01 11:55:19,174.841502,-41.131933
"POINT (175.012478000005046 -41.148467999995184)",1030850,New World Silverstream,supermarket,http://www.newworld.co.nz,"28 Whitemans Road, Silverstream",(04) 528 2529,"8am-9pm, 7 days a week",2006-08-31 14:05:18,2006-09-01 11:55:31,175.012478,-41.148468
"POINT (176.842160000158174 -39.638900999785754)",1029680,Hastings Countdown,"supermarket, Lotto",http://www.progressive.co.nz,"Cnr Queen Street West & King Street North, Hastings",(06) 878 5099,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:55,2007-03-18 18:50:53,176.84216,-39.6389009998
"POINT (167.992796000122638 -46.13654899862324)",1056600,North End Minimarket,"supermarket, groceries",,"244 Main Street, Otautau",(09) 225 8436,,2006-10-29 13:28:38,2006-11-16 17:16:13,167.992796,-46.1365489986
"POINT (175.236719000009856 -37.780907999992522)",1029860,Nawton Countdown,supermarket,http://www.progressive.co.nz,"Cnr Grandview Drive & Hyde Ave, Hamilton",(07) 847 6848,"Mon - Sun, 7am - 9pm",2006-08-31 13:52:59,2007-04-15 15:08:49,175.236719,-37.780908
"POINT (174.121440000000291 -35.261871)",1056300,Russell Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"The Strand, Russell",(09) 403 7819,,2006-10-29 13:28:24,2007-09-10 20:38:38,174.12144,-35.261871
"POINT (176.099367000055054 -38.69020599994407)",1055960,Tauhara Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"163 Taharepa Rd, Taupo",(07) 378 5125,,2006-10-29 13:28:07,2006-10-31 13:44:15,176.099367,-38.6902059999
"POINT (175.395044000014281 -37.804282999988729)",1056060,Matangi Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"453 Tauwhare Road, Matangi, Hamilton",(07) 829 5876,,2006-10-29 13:28:12,2007-12-22 18:00:22,175.395044,-37.804283
"POINT (174.666545000002145 -36.398754999998836)",1031290,New World Warkworth,"supermarket, Lotto",http://www.newworld.co.nz,"6 Percy Street, Warkworth",(09) 425 1040,"8am-8pm, 7 days a week",2006-08-31 14:05:29,2007-05-14 22:51:59,174.666545,-36.398755
"POINT (172.574417 -43.529914)",1029110,Bush Inn Woolworths,supermarket,http://www.progressive.co.nz,"Waimairi Rd, Upper Riccarton, Christchurch",(03) 343 0912,"Mon - Sun, 8am - 10pm",2006-08-31 13:52:41,2007-04-30 17:21:31,172.574417,-43.529914
"POINT (174.776884000002951 -36.870725999998236)",1030250,277 Newmarket Foodtown,"supermarket, Lotto",http://www.progressive.co.nz,"277 Broadway, Newmarket",(09) 520 3231,"Mon - Sun, 7am - 10pm",2006-08-31 13:53:09,2007-03-18 19:06:37,174.776884,-36.870726
"POINT (174.789605000003064 -36.99806299999814)",1029970,Airport Foodtown,"supermarket, Lotto",http://www.progressive.co.nz,"Cnr George Bolt Memorial & John Goulter Drives, Mangere",(09) 256 2128,"Mon - Sun, 24 hours",2006-08-31 13:53:02,2007-03-18 19:03:00,174.789605,-36.998063
"POINT (177.276715000299703 -38.012086999631322)",1031080,New World Opotiki,supermarket,http://www.newworld.co.nz,"19 Bridge St, Opotiki",(07) 315 6723,"Mon-Fri 8am-8pm, Sat 8am-7pm, Sun 9am-7pm",2006-08-31 14:05:24,2006-09-01 11:55:32,177.276715,-38.0120869996
"POINT (172.251323 -43.81115)",1054690,Southbridge Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"106 High Street, Southbridge",(03) 324 2630,,2006-10-29 13:27:05,2007-05-21 15:45:57,172.251323,-43.81115
"POINT (174.745956000002394 -41.282488999997923)",1055260,Karori Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"147 Karori Road, Karori, Wellington",(04) 476 6729,,2006-10-29 13:27:33,2007-05-07 16:53:12,174.745956,-41.282489
"POINT (174.959429000004405 -41.17964299999587)",1055310,Taita Four Square Discount,"supermarket, groceries",http://www.foursquare.co.nz,"18 Taine Street, Taita, Lower Hutt",(04) 567 1304,,2006-10-29 13:27:35,2006-10-29 13:27:35,174.959429,-41.179643
"POINT (176.777253000145606 -39.620609999806732)",1055850,Scott Drive Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"29 Scott Drive, Flaxmere, Hastings",(06) 879 6378,,2006-10-29 13:28:02,2006-10-29 13:28:02,176.777253,-39.6206099998
"POINT (174.731894000002569 -36.783479999998491)",1056550,Chartwell Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"23 Chartwell Avenue, Glenfield",(09) 443 6018,,2006-10-29 13:28:36,2006-10-29 13:28:36,174.731894,-36.78348
"POINT (172.594539 -43.302485)",1030520,New World Rangiora,"supermarket, Lotto",http://www.newworld.co.nz,"Good Street, Rangiora",(03) 311 8130,"8am-10pm, 7 days a week",2006-08-31 14:05:10,2007-04-30 09:19:17,172.594539,-43.302485
"POINT (174.080923000000212 -39.057304999999893)",1028800,PAK 'n SAVE New Plymouth,supermarket,http://www.paknsave.co.nz,"53 Leach Street, New Plymouth",(06) 758 1594,"8am - midnight, 7 days a week",2006-08-31 11:40:18,2008-01-02 16:38:54,174.080923,-39.057305
"POINT (170.489143999988329 -45.867510999978023)",1029260,Roslyn FreshChoice,"supermarket, Lotto",http://www.progressive.co.nz,"279 Highgate, Dunedin",(03) 474 0983,"Mon - Sun, 7am - 9pm",2006-08-31 13:52:45,2007-03-29 13:09:00,170.489144,-45.867511
"POINT (175.283330000010039 -40.623178999989996)",1030940,New World Levin,supermarket,http://www.newworld.co.nz,"21 Bath Street, Levin",(06) 368 6538,"7 days a week, from 7am to 10pm",2006-08-31 14:05:20,2006-09-01 11:55:31,175.28333,-40.623179
"POINT (174.73986600000265 -36.758879999998456)",1030110,Sunnynook Foodtown,supermarket,http://www.progressive.co.nz,"Cnr Sycamore Drive & Sunnynook Road, Sunnynook",(09) 410 8171,"Mon - Sun, 7am - 10pm",2006-08-31 13:53:05,2007-01-04 19:56:05,174.739866,-36.75888
"POINT (172.634279 -43.538473)",1030750,New World South City,supermarket,http://www.newworld.co.nz,"Shop 2, 555 Colombo Street, Christchurch",(03) 377 6778,"Mon-Wed 8-8, Thu-Fri 8-9,Sat-Sun 8-7",2006-08-31 14:05:15,2007-03-22 23:31:52,172.634279,-43.538473
"POINT (174.276060000000513 -39.587691999999699)",1030890,New World Hawera,"supermarket, Lotto",http://www.newworld.co.nz,"307 High Street, Hawera",(06) 278 8528,"7am-10pm, 7 days a week",2006-08-31 14:05:19,2007-03-29 13:22:56,174.27606,-39.587692
"POINT (175.67153800002589 -37.380846999978914)",1056100,Paeroa Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"104 Normanby Road, Paeroa",(07) 862 8266,,2006-10-29 13:28:14,2006-10-29 13:28:14,175.671538,-37.380847
"POINT (174.591990000001658 -36.756961999999085)",1056400,Highway Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"1053 Coatesville Riverhead Highway, Riverhead",(09) 412 8302,,2006-10-29 13:28:29,2007-01-23 13:11:12,174.59199,-36.756962
"POINT (174.390484000000782 -38.997546999999528)",1055690,Urenui Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"16 Ngakoti Street, Urenui, Taranaki",(06) 752 3895,,2006-10-29 13:27:54,2006-10-29 13:27:54,174.390484,-38.997547
"POINT (174.733043000002596 -37.249221999998433)",1031230,New World Waiuku,supermarket,http://www.newworld.co.nz,"Kitchener Road, Waiuku",(09) 236 5050,"7am-9pm, 7 days a week",2006-08-31 14:05:28,2007-03-31 17:28:56,174.733043,-37.249222
"POINT (174.29952000000057 -39.429892999999673)",1055780,Eltham Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"156 High Street, Eltham",(06) 764 5310,,2006-10-29 13:27:58,2006-10-29 13:27:58,174.29952,-39.429893
"POINT (174.6648970000021 -36.398742999998838)",1056450,Warkworth Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"14 Neville Street, Warkworth",(09) 425 8947,,2006-10-29 13:28:31,2007-01-23 13:11:15,174.664897,-36.398743
"POINT (174.868789000003432 -41.094070999996916)",1030760,New World Paremata,supermarket,http://www.newworld.co.nz,"93-97 Mana Esplanade, Paremata",(04) 233 1666,"8am-9pm, 7 days a week",2006-08-31 14:05:16,2007-01-23 12:26:26,174.868789,-41.094071
"POINT (174.738197000002344 -41.284367999997983)",1030830,New World Karori,supermarket,http://www.newworld.co.nz,"236 Karori Road, Wellington Central",(04) 476 0710,"7 days a week, from 7.30am to 9pm",2006-08-31 14:05:17,2006-09-01 11:55:31,174.738197,-41.284368
"POINT (174.814196000002937 -41.316175999997384)",1030810,New World Miramar,"supermarket, Lotto",http://www.newworld.co.nz,"48 Miramar Avenue, Miramar",(04) 388 2934,"7 days a week, from 7.30am to 9pm",2006-08-31 14:05:17,2007-05-14 22:26:00,174.814196,-41.316176
"POINT (174.77874100000264 -41.274027999997692)",1030840,New World Thorndon,supermarket,http://www.newworld.co.nz,"41 Murphy Street, Thorndon",(04) 499 9041,"7 days a week, from 7am to 11pm",2006-08-31 14:05:18,2006-09-01 11:55:31,174.778741,-41.274028
"POINT (175.158741000008206 -37.564420999994049)",1029830,Huntly Countdown,supermarket,http://www.progressive.co.nz,"16-18 Tumate Mahuta Drive, Huntly",(07) 828 7496,7 days 8am-8pm,2006-08-31 13:52:59,2008-03-25 17:37:52,175.158741,-37.564421
"POINT (172.636638 -43.553316)",1029090,Colombo Street Countdown,"supermarket, Lotto",http://www.progressive.co.nz,"219 Colombo Street, Beckenham, Christchurch",(03) 337 5781,7 days 8am-10pm,2006-08-31 13:52:41,2007-03-18 18:39:48,172.636638,-43.553316
"POINT (174.747827000002701 -36.717059999998419)",1030210,Browns Bay Foodtown,"supermarket, Lotto",http://www.progressive.co.nz,"Cnr Anzac & Clyde Roads, Browns Bay",(09) 478 9006,"Mon - Sun, 7am - 10pm",2006-08-31 13:53:08,2007-03-18 19:03:21,174.747827,-36.71706
"POINT (170.489594999988356 -45.867047999978048)",1030670,New World Roslyn,supermarket,http://www.newworld.co.nz,"291D Highgate, Dunedin",(03) 477 9796,"8am-8pm, 7 days a week",2006-08-31 14:05:14,2006-08-31 14:08:46,170.489595,-45.867048
"POINT (175.873829000038597 -37.204380999967697)",1056130,Slipper Superette,"supermarket, groceries",,"710 Port Road, Whangamata",(07) 865 8832,,2006-10-29 13:28:15,2008-04-13 20:06:41,175.873829,-37.204381
"POINT (168.36906999998908 -46.432197999128697)",1054530,Pomona Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"120 Tramway Road, Invercargill",(03) 216 9885,,2006-10-29 13:14:21,2006-10-29 13:14:21,168.36907,-46.4321979991
"POINT (174.88972200000407 -36.915285999997437)",1056580,Pakuranga Heights Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"114 reeves Road, Pakuranga",(09) 576 9850,,2006-10-29 13:28:37,2006-10-29 13:28:37,174.889722,-36.915286
"POINT (170.481468999988181 -45.896256999977609)",1054890,Caversham Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"263 South Road, Dunedin",(03) 455 7427,,2006-10-29 13:27:15,2006-10-29 13:27:15,170.481469,-45.896257
"POINT (176.080913000053357 -38.691307999946034)",1055960,Praters Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"65 Rifle Range Road, Taupo",(07) 378 4551,,2006-10-29 13:28:07,2006-10-29 13:28:07,176.080913,-38.6913079999
"POINT (174.695165000002305 -36.588423999998696)",1030140,Orewa Countdown,supermarket,http://www.progressive.co.nz,"5 Moenui Avenue, Orewa,",(09) 426 6244,"Mon - Sun, 8am - 8pm",2006-08-31 13:53:06,2007-09-09 17:53:36,174.695165,-36.588424
"POINT (170.477209999986087 -44.004489999978766)",1055040,Tekapo Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"Main Road, Tekapo",(03) 680 6809,,2006-10-29 13:27:22,2007-09-07 15:24:55,170.47721,-44.00449
"POINT (175.161032000008248 -37.536409999994021)",1056060,Freds Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"101 Bailey Street, Huntly",(07) 828 7438,,2006-10-29 13:28:12,2007-03-18 22:12:49,175.161032,-37.53641
"POINT (172.664228 -43.505472)",1029200,The Palms Woolworths,supermarket,http://www.progressive.co.nz,"Marshland Rd, Shirley, Christchurch",(03) 385 6454,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:44,2007-08-11 22:53:19,172.664228,-43.505472
"POINT (172.6249 -43.45934)",1029050,Northwood Woolworths,supermarket,http://www.progressive.co.nz,"1 Radcliffe Rd, Northwood Supa Centre, Belfast, Christchurch",(03) 323 9710,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:40,2006-12-19 00:07:03,172.6249,-43.45934
"POINT (172.523739 -43.542444)",1028700,PAK 'n SAVE Hornby,supermarket,http://www.paknsave.co.nz,"Hornby Mall, Main South Road, Christchurch",(03) 349 8145,"6am-midnight, 7 days a week",2006-08-31 11:40:16,2006-12-07 18:56:49,172.523739,-43.542444
"POINT (174.84114600000359 -36.917989999997801)",1095590,Foodtown Sylvia Park,"supermarket, Lotto",http://www.progressive.co.nz,"300 Mt Wellington Hwy, Mt Wellington, Auckland",09 255 2397,,2007-03-18 19:13:25,2007-03-18 21:24:55,174.841146,-36.91799
"POINT (174.472850000001046 -39.755079999999303)",1055390,Empire Four Square Discount,"supermarket, groceries",http://www.foursquare.co.nz,"101 Egmont Street, Patea",(06) 273 8184,,2006-10-29 13:27:39,2006-10-29 13:27:39,174.47285,-39.75508
"POINT (174.79184700000306 -36.96643699999813)",1056270,Idlewild Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"61D Idlewild Avenue, Mangere",(09) 275 1061,,2006-10-29 13:28:22,2006-10-31 13:46:33,174.791847,-36.966437
"POINT (176.073053000052653 -38.686916999946874)",1028850,PAK 'n SAVE Taupo,supermarket,http://www.paknsave.co.nz,"Ruapehu Street, Taupo",(07) 376 0999,"8am-9pm, 7 days a week",2006-08-31 11:40:19,2007-01-16 16:51:12,176.073053,-38.6869169999
"POINT (175.867960000037016 -38.236275999965848)",1056210,Balmoral Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Balmoral Drive, Tokoroa",(07) 886 9521,,2006-10-29 13:28:19,2008-02-29 10:48:36,175.86796,-38.236276
"POINT (175.649318000021651 -40.957247999975174)",1121460,PAK 'n SAVE Masterton,supermarket,http://www.paknsave.co.nz,"Queen Street, Kuripuni, Masterton",06 377 0850,7 days 7am-10pm,2008-03-03 15:52:47,2008-05-10 09:50:44,175.649318,-40.957248
